timestamp,open,high,low,close,volume,volume_currency,volume_quote,confirm,symbol,inst_id,bar,source,venue
2026-05-05T18:00:00Z,85.44,85.86,85.4,85.85,208776.32,208776.32,17885519.1442,1,SOL-USDT-SWAP,SOL-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2026-05-05T19:00:00Z,85.85,86.54,85.79,86.47,402180.12,402180.12,34682642.2409,1,SOL-USDT-SWAP,SOL-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2026-05-05T20:00:00Z,86.47,86.89,86.37,86.61,374353.06,374353.06,32432374.4758,1,SOL-USDT-SWAP,SOL-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2026-05-05T21:00:00Z,86.61,86.92,86.21,86.69,319113.69,319113.69,27615174.2392,1,SOL-USDT-SWAP,SOL-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2026-05-05T22:00:00Z,86.7,86.96,86.16,86.53,328185.71,328185.71,28405111.7725,1,SOL-USDT-SWAP,SOL-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2026-05-05T23:00:00Z,86.53,86.64,86.12,86.24,210707.73,210707.73,18190094.2222,1,SOL-USDT-SWAP,SOL-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2026-05-06T00:00:00Z,86.24,86.51,86.06,86.34,285211.85,285211.85,24607732.416,1,SOL-USDT-SWAP,SOL-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2026-05-06T01:00:00Z,86.34,87,86.26,86.81,278711.11,278711.11,24178199.8127,1,SOL-USDT-SWAP,SOL-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2026-05-06T02:00:00Z,86.81,86.88,86.34,86.85,236633.76,236633.76,20510583.8035,1,SOL-USDT-SWAP,SOL-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2026-05-06T03:00:00Z,86.86,87.43,86.83,87.29,409856.9,409856.9,35722649.0122,1,SOL-USDT-SWAP,SOL-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2026-05-06T04:00:00Z,87.29,87.41,86.63,86.76,284207.15,284207.15,24730432.8051,1,SOL-USDT-SWAP,SOL-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2026-05-06T05:00:00Z,86.76,87.42,86.71,87.35,358819.12,358819.12,31245714.9685,1,SOL-USDT-SWAP,SOL-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2026-05-06T06:00:00Z,87.35,87.53,87.12,87.44,234201.56,234201.56,20456475.3303,1,SOL-USDT-SWAP,SOL-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
