timestamp,open,high,low,close,volume,volume_currency,volume_quote,confirm,symbol,inst_id,bar,source,venue
2025-12-08T10:00:00Z,91867.9,92183.5,91769.8,92090,149386.23,1493.8623,137446804.03871,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-08T11:00:00Z,92090,92139,91814.4,91923.8,144584.51,1445.8451,132970180.72048,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-08T12:00:00Z,91923.8,91952.9,91619.9,91733,197045.16,1970.4516,180842970.42602,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-08T13:00:00Z,91733,92094.7,91250,91425.4,376839.24,3768.3924,345264008.96295,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-08T14:00:00Z,91425.5,91747.8,90734.1,90811.7,749659.46,7496.5946,683728293.96477,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-08T15:00:00Z,90811.7,90956.2,89560.1,89910.3,1176535.03,11765.3503,1060272564.31298,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-08T16:00:00Z,89910.4,90449.4,89625.9,89923.6,561057.37,5610.5737,505225633.03121,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-08T17:00:00Z,89923.6,90298.8,89639.8,90208,269154.97,2691.5497,242113606.83696,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-08T18:00:00Z,90208,90474,89666.9,89865.1,265895.99,2658.9599,239771999.91657,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-08T19:00:00Z,89865,90325,89804.8,90076.3,169518.31,1695.1831,152654447.76904,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-08T20:00:00Z,90076.7,90878.3,90076.7,90741.1,341240.13,3412.4013,308916978.46614,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-08T21:00:00Z,90741.1,91337,90619.8,91257.1,234519.13,2345.1913,213467839.11053,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-08T22:00:00Z,91257.2,91338.2,90674.4,90789.5,172391.47,1723.9147,156729379.97288,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-08T23:00:00Z,90789.5,90977.5,90460,90604.7,151412.45,1514.1245,137292631.34435,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-09T00:00:00Z,90604.8,90818.1,90305.1,90349.7,143432.4,1434.324,129879706.70932,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-09T01:00:00Z,90349.6,90533.2,89912,90012.6,214974.51,2149.7451,193849097.90763,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-09T02:00:00Z,90012.7,90329.7,89923.4,90025.2,141613.21,1416.1321,127678261.00365,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-09T03:00:00Z,90026.3,90400,89766,90365.4,255538.91,2555.3891,230236472.13598,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-09T04:00:00Z,90365.4,90466,89673,89878.4,291256.01,2912.5601,262186992.33645,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-09T05:00:00Z,89878.4,90169.9,89447.4,89857.9,371368.01,3713.6801,333599292.02473,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-09T06:00:00Z,89857.9,90192,89727.9,90129.5,185206.76,1852.0676,166578092.23716,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-09T07:00:00Z,90129.6,90482.6,90040.1,90449.9,223831.1,2238.311,202145476.17842,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-09T08:00:00Z,90450,90583.6,90323.7,90459.5,193781.14,1937.8114,175345407.83035,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-09T09:00:00Z,90459.4,90459.4,90100,90104.2,187821.6,1878.216,169561861.57907,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-09T10:00:00Z,90104.2,90310.5,89845.3,90262.6,196181.21,1961.8121,176743055.90756,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-09T11:00:00Z,90262.7,90350,90089.8,90338.9,107798.2,1077.982,97276504.85235,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-09T12:00:00Z,90338.9,90662.1,90280.4,90522,186551.54,1865.5154,168841557.2712,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-09T13:00:00Z,90522,90808.1,90119.7,90377,286447.8,2864.478,259102427.18705,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-09T14:00:00Z,90377,90588,89951,90310,395851.18,3958.5118,357192257.6534,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-09T15:00:00Z,90310,92863.8,90241.5,92675.4,1521631.65,15216.3165,1393924880.99893,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-09T16:00:00Z,92675.3,94465,92655.6,94150,1556279.48,15562.7948,1457140925.51442,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-09T17:00:00Z,94150,94569.9,93508.9,93881.4,693666.95,6936.6695,652090330.99309,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-09T18:00:00Z,93881.4,94138.9,93620,93888.8,259730.83,2597.3083,243892143.63799,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-09T19:00:00Z,93888.7,94203.4,93620,93761.9,198464.61,1984.6461,186336144.71399,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-09T20:00:00Z,93761.8,93817,92721.8,93064.2,484183,4841.83,450823566.59491,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-09T21:00:00Z,93064.3,93185,92194.8,92591.3,346934.83,3469.3483,321518955.15317,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
2025-12-09T22:00:00Z,92591.4,92983.7,92451.9,92816,284145.9,2841.459,263415383.02853,1,BTC-USDT-SWAP,BTC-USDT-SWAP,1h,OKX_PUBLIC_CANDLES_RESEARCH_ONLY,OKX
