date,strategy,gross_return,trading_cost_return,funding_return,net_return,normalized_nav,drawdown,turnover,gross_long,gross_short_abs,net_exposure,open_positions,kill_switch_active,engine_version,prev_chain_sha256,chain_sha256
2026-09-08,V12_LS_50_50,0.020049711981049007,0.0008585000000000001,0.000164135159657235,0.019191211981049006,1.019191211981049,0.0,0.8000000000000002,0.35000000000000003,0.45,-0.1,16,False,DELTA_V12_ENGINE_1.0,0000000000000000000000000000000000000000000000000000000000000000,c1afd5155efda7954ce51a86becd0150124b838e46e95f31ef1698db020dc419
2026-09-08,V12_LS_50_50_StopVol,0.007933484689235841,0.0004556019147940889,7.7625959266331e-05,0.007477882774441752,1.0074778827744417,0.0,0.4344819069721258,0.16339417061101072,0.2710877363611151,-0.10769356575010439,16,False,DELTA_V12_ENGINE_1.0,c1afd5155efda7954ce51a86becd0150124b838e46e95f31ef1698db020dc419,3a7ea5fe5b439be69fb5d142c8e64a11f3666b5ef9c3434c622e63b6599fae08
2026-09-08,V12_LS_70_30,0.02097517606266276,0.0007806999999999998,6.482782818181019e-06,0.02019447606266276,1.0201944760626627,0.0,0.76,0.48999999999999994,0.27,0.21999999999999997,16,False,DELTA_V12_ENGINE_1.0,3a7ea5fe5b439be69fb5d142c8e64a11f3666b5ef9c3434c622e63b6599fae08,58ceeb5fba2b3a6a26a4a8f9bc68068030c34d5b760f0aab1a49f577b034dfab
2026-09-08,V12_LS_70_30_StopVol,0.007067203916097785,0.00039523076869856487,1.230847788818088e-05,0.00667197314739922,1.0066719731473992,0.0,0.39140448067208405,0.22875183885541497,0.16265264181666905,0.06609919703874592,16,False,DELTA_V12_ENGINE_1.0,58ceeb5fba2b3a6a26a4a8f9bc68068030c34d5b760f0aab1a49f577b034dfab,c5b7d15f5e728feef0cea82dcb44d596bc6623ef57670eb7bbda3bcdbb83df41
2026-09-09,V12_LS_50_50,0.02505636904049215,0.0004615,0.00010201578926635001,0.02459486904049215,1.0442580863669433,0.0,0.39999999999999997,0.15000000000000002,0.25,-0.1,8,False,DELTA_V12_ENGINE_1.0,c5b7d15f5e728feef0cea82dcb44d596bc6623ef57670eb7bbda3bcdbb83df41,d6ff191be6d11b65642b8c3d57ccba0cb05d2eb10b7482a80cb10023148aebd5
2026-09-09,V12_LS_50_50_StopVol,0.01706276846584175,0.00023754363920707716,2.0844128000681468e-05,0.016825224826634674,1.0244289246599836,0.0,0.2090312864854011,0.08399460374428819,0.14644259287039743,-0.06244798912610924,8,False,DELTA_V12_ENGINE_1.0,d6ff191be6d11b65642b8c3d57ccba0cb05d2eb10b7482a80cb10023148aebd5,7bd9ae5fc66f81e09e8bdd58a1eaa9e9a88ba66a09b9e755233532c9dd5f172b
2026-09-09,V12_LS_70_30,0.0010524049971597353,0.0004265,3.6809990221962e-05,0.0006259049971597353,1.020833020883305,0.0,0.4,0.20999999999999996,0.15,0.059999999999999984,8,False,DELTA_V12_ENGINE_1.0,7bd9ae5fc66f81e09e8bdd58a1eaa9e9a88ba66a09b9e755233532c9dd5f172b,a7670d1ced4e3249ce499102899b5f762ca48ea4624a18d6b05c2a38f4d588f2
2026-09-09,V12_LS_70_30_StopVol,0.004839373768484362,0.00019926433751398494,-1.5164096974734325e-06,0.004640109430970377,1.0113430412638942,0.0,0.18930299443632995,0.11759244524200343,0.08786555572223845,0.029726889519764994,8,False,DELTA_V12_ENGINE_1.0,a7670d1ced4e3249ce499102899b5f762ca48ea4624a18d6b05c2a38f4d588f2,1f39deb3ec48fc396b9a1bec0ae838dc42be314b75c3ed821a64f1142c876807
2026-09-10,V12_LS_50_50,0.006491319507050319,0.0005375,2.9307022146345002e-05,0.005953819507050319,1.0504754105319498,0.0,0.49999999999999994,0.1,0.1,0.0,4,False,DELTA_V12_ENGINE_1.0,1f39deb3ec48fc396b9a1bec0ae838dc42be314b75c3ed821a64f1142c876807,ecbf4793f1c844b571853554ef1bed2a370fa568241cbd6d6bb6f8a1b7041f99
2026-09-10,V12_LS_50_50_StopVol,-0.00040357329280435385,0.00040629027098028575,1.1067039410276713e-05,-0.0008098635637846396,1.0235992770002145,-0.0008098635637845408,0.3602460547912697,0.061202413289747806,0.036734908632857485,0.024467504656890324,4,False,DELTA_V12_ENGINE_1.0,ecbf4793f1c844b571853554ef1bed2a370fa568241cbd6d6bb6f8a1b7041f99,71b7fc9530f5023d669e4eaba6877ef48927f128a88130adc59be7825ce5a761
2026-09-10,V12_LS_70_30,0.0004342427972584348,0.0006464999999999999,6.151184228307003e-06,-0.00021225720274156517,1.0206163417218261,-0.00021225720274142823,0.58,0.13999999999999999,0.06,0.07999999999999999,4,False,DELTA_V12_ENGINE_1.0,71b7fc9530f5023d669e4eaba6877ef48927f128a88130adc59be7825ce5a761,9b2abe036d47ef1b8368e92009e9bc163a16313422cfe8abdbdcd3aad2adc9a2
2026-09-10,V12_LS_70_30_StopVol,-0.003243713836405267,0.00048491612653774193,1.6111914879989941e-06,-0.003728629962943009,1.0075721172974237,-0.0037286299629429864,0.4126370349568886,0.08568337860564693,0.02204094517971449,0.06364243342593243,4,False,DELTA_V12_ENGINE_1.0,9b2abe036d47ef1b8368e92009e9bc163a16313422cfe8abdbdcd3aad2adc9a2,a5cf47a6fbc9310510243662ee24f36995b4f4ea489b765f7a26a9692966a56b
2026-09-11,V12_LS_50_50,-0.024611737243366568,0.0004615,-1.5562665612695e-05,-0.025073237243366568,1.0241365913453595,-0.02507323724336641,0.39999999999999997,0.15000000000000002,0.15000000000000002,0.0,6,False,DELTA_V12_ENGINE_1.0,a5cf47a6fbc9310510243662ee24f36995b4f4ea489b765f7a26a9692966a56b,692bbc56f32a5b23960eb452abd7f4521fad4395a6a3a2850a3605add08cdbda
2026-09-11,V12_LS_50_50_StopVol,-0.010618640150689432,0.0002356916366867319,-1.9389295915131425e-05,-0.010854331787376164,1.0124887908303357,-0.011655404823336935,0.20996798897212188,0.09350139924437956,0.05307842611041806,0.04042297313396151,6,False,DELTA_V12_ENGINE_1.0,692bbc56f32a5b23960eb452abd7f4521fad4395a6a3a2850a3605add08cdbda,4f72069fed82e0f7b8c1042c863aa06fc6a5eac9493deb72c553ba87b3022a7b
2026-09-11,V12_LS_70_30,-0.019303176885562313,0.0004029,-4.8646641097256995e-05,-0.019706076885562314,1.0005039976211945,-0.01991415133154706,0.36,0.20999999999999996,0.09,0.11999999999999998,6,False,DELTA_V12_ENGINE_1.0,4f72069fed82e0f7b8c1042c863aa06fc6a5eac9493deb72c553ba87b3022a7b,283479e4de88974d93832e276e0f0244da619f8aeb72f48b20a18e07544d0a8a
2026-09-11,V12_LS_70_30_StopVol,-0.009534605295332588,0.00022913409418577312,-3.500002280347417e-05,-0.00976373938951836,0.9977344457279864,-0.013455963981223285,0.2130558832686722,0.13090195894213136,0.03184705566625083,0.09905490327588054,6,False,DELTA_V12_ENGINE_1.0,283479e4de88974d93832e276e0f0244da619f8aeb72f48b20a18e07544d0a8a,67dfdd1b99673a35c0a3e3626766a7c3d573b4a9098a3a97c48cac79773ed0d8
2026-09-12,V12_LS_50_50,0.010001865739238806,0.00047,0.00010868720432076002,0.009531865739238806,1.033898523832705,-0.015780366235179644,0.39999999999999997,0.2,0.2,0.0,8,False,DELTA_V12_ENGINE_1.0,67dfdd1b99673a35c0a3e3626766a7c3d573b4a9098a3a97c48cac79773ed0d8,774abe3e027cc030f9bdf53b1eb5c1175e39040d51a001e136b509af0e2c2cfb
2026-09-12,V12_LS_50_50_StopVol,0.005365737670800638,0.0002860960470810088,7.351501946061285e-05,0.005079641623719629,1.017631871035787,-0.006634968479099279,0.24212140924034978,0.10355817024410559,0.09811071424829305,0.005447455995812535,8,False,DELTA_V12_ENGINE_1.0,774abe3e027cc030f9bdf53b1eb5c1175e39040d51a001e136b509af0e2c2cfb,3982cb110c059bdfeb1d613b796f6fe2b5ca6d24abe291e1e81b9cd1bbeaabfb
2026-09-12,V12_LS_70_30,0.012072245532879548,0.0006159999999999999,0.00010042027577335201,0.011456245532879548,1.0119660170745703,-0.008686047205900715,0.5199999999999999,0.27999999999999997,0.12,0.15999999999999998,8,False,DELTA_V12_ENGINE_1.0,3982cb110c059bdfeb1d613b796f6fe2b5ca6d24abe291e1e81b9cd1bbeaabfb,ffb5e506419720809f7a1a70dcb59495b3147dfea1daf919792629debb70d70d
2026-09-12,V12_LS_70_30_StopVol,0.005888972945685866,0.0003626231669514101,7.602092313405022e-05,0.005526349778734455,1.0032482752613712,-0.008003976566059001,0.30292050113499797,0.1449814383417478,0.05886642854897582,0.08611500979277198,8,False,DELTA_V12_ENGINE_1.0,ffb5e506419720809f7a1a70dcb59495b3147dfea1daf919792629debb70d70d,9fc9f6b15c904ff5cb2ffdb2cdaf86e812f675c17d3bb20520f6da4d424daeba
2026-09-13,V12_LS_50_50,0.0006581647841957868,0.00045949999999999995,4.360285458151001e-05,0.00019866478419578685,1.0341039230598226,-0.01558483645403641,0.39999999999999997,0.2,0.30000000000000004,-0.1,10,False,DELTA_V12_ENGINE_1.0,9fc9f6b15c904ff5cb2ffdb2cdaf86e812f675c17d3bb20520f6da4d424daeba,2c168d1385f95fca3f432b205b614cca544f965d9169d2790ecab1cb11d7761c
2026-09-13,V12_LS_50_50_StopVol,0.0028963225501381588,0.0002857267295556233,2.701851173487365e-05,0.0026105958205825354,1.0202884965452046,-0.004041693879498043,0.24798729472799524,0.08869730428319578,0.18690943591611503,-0.09821213163291924,10,False,DELTA_V12_ENGINE_1.0,2c168d1385f95fca3f432b205b614cca544f965d9169d2790ecab1cb11d7761c,5dee00b0cf4d245e23cbfa3b916bc3c55877cd44db23fbb51bdb97756d516c8b
2026-09-13,V12_LS_70_30,-0.008841945873098365,0.00045529999999999995,2.813870295173998e-06,-0.009297245873098365,1.002557520198608,-0.01790253676246034,0.4,0.27999999999999997,0.18,0.09999999999999998,10,False,DELTA_V12_ENGINE_1.0,5dee00b0cf4d245e23cbfa3b916bc3c55877cd44db23fbb51bdb97756d516c8b,ed91c7a6f8aab15d453cfa97ba6fcebe35a57ee3c5a3b80bb0080877cdb05b3b
2026-09-13,V12_LS_70_30_StopVol,-0.00205104015805182,0.000292793153646711,7.717408700449456e-06,-0.0023438333116985307,1.0008968285339095,-0.010329049890855924,0.2534991535543827,0.12417622599647408,0.11214566154966901,0.012030564446805078,10,False,DELTA_V12_ENGINE_1.0,ed91c7a6f8aab15d453cfa97ba6fcebe35a57ee3c5a3b80bb0080877cdb05b3b,f3449e63c7edaee9443a1eca0ca994f9d97e316101b7e44fce4c123a6468c206
2026-09-14,V12_LS_50_50,0.0015473997288198804,0.000581,0.00010709175826159503,0.0009663997288198804,1.035103280810639,-0.014633497906939574,0.49999999999999994,0.25,0.45,-0.2,14,False,DELTA_V12_ENGINE_1.0,f3449e63c7edaee9443a1eca0ca994f9d97e316101b7e44fce4c123a6468c206,230b0511a509088be1bbd798eba9fe06e50ad1264c8c6c9c57bf4f4c296a5b21
2026-09-14,V12_LS_50_50_StopVol,0.0024360281460213315,0.0003396620557183566,4.8296534093932654e-05,0.002096366090302975,1.0224273947516882,-0.0019538006591913737,0.2808262128206655,0.11827338419221735,0.24157549786552465,-0.12330211367330729,14,False,DELTA_V12_ENGINE_1.0,230b0511a509088be1bbd798eba9fe06e50ad1264c8c6c9c57bf4f4c296a5b21,92a2bf241917c610d6e9d56d31ee9e0c49aa263023131829da97889a9f521c07
2026-09-14,V12_LS_70_30,0.0034421128151335767,0.0005834,1.259108245756501e-05,0.0028587128151335768,1.0054235442295085,-0.01509500215859294,0.5,0.35,0.27,0.07999999999999997,14,False,DELTA_V12_ENGINE_1.0,92a2bf241917c610d6e9d56d31ee9e0c49aa263023131829da97889a9f521c07,a03878d863f0dabad6d7ff75810f9253ffe7bfeab6ca80a5299522b137e05e14
2026-09-14,V12_LS_70_30_StopVol,0.0044755397145455934,0.0003690262947351723,4.008908397091698e-06,0.004106513419810421,1.0050070247921297,-0.0062649528530361875,0.30694922005441494,0.16558273786910427,0.14494529871931477,0.020637439149789494,14,False,DELTA_V12_ENGINE_1.0,a03878d863f0dabad6d7ff75810f9253ffe7bfeab6ca80a5299522b137e05e14,575af28cf73603b87390410c4e8e577ccd6de9d4ee03ba99960d9d685fb5a822
2026-09-15,V12_LS_50_50,-0.0009015477296707142,0.0005515,4.973667436037001e-05,-0.0014530477296707143,1.0335992263384826,-0.016065282465699382,0.44999999999999996,0.2,0.35000000000000003,-0.15000000000000002,11,False,DELTA_V12_ENGINE_1.0,575af28cf73603b87390410c4e8e577ccd6de9d4ee03ba99960d9d685fb5a822,57bc6faf10a5750d664989ea6a6bd11fbfdbffdfec1022ba9d578b3f25714d14
2026-09-15,V12_LS_50_50_StopVol,-0.0037707262833117936,0.00033544940171959485,2.478494922788857e-05,-0.0041061756850313885,1.0182291282436489,-0.00605195369546252,0.28113520580340706,0.07922952725656544,0.1739637935306369,-0.09473426627407147,11,False,DELTA_V12_ENGINE_1.0,57bc6faf10a5750d664989ea6a6bd11fbfdbffdfec1022ba9d578b3f25714d14,f753b6ef15f6ad6dc5b5450efa246e1c1f5b4a9d280a7f1c2bd27d94567b4508
2026-09-15,V12_LS_70_30,-0.006181525888332869,0.0005625,-9.082259884357993e-06,-0.006744025888332869,0.9986429418184853,-0.021737226961583755,0.4700000000000001,0.27999999999999997,0.21,0.06999999999999998,11,False,DELTA_V12_ENGINE_1.0,f753b6ef15f6ad6dc5b5450efa246e1c1f5b4a9d280a7f1c2bd27d94567b4508,4c0dc0976a9226a708a1bc2becd79177829513a5391b3b2d8f9747c114a94d56
