date,strategy,symbol,event,side,price,entry_price,signed_weight,stop_level,take_level,stop_pct,take_pct,trailing_pct
2026-09-08,V12_LS_70_30_StopVol,DASH,ENTRY,LONG,62.84,62.84,0.03482327996646432,,,0.20101495340878783,0.40202990681757567,0.12060897204527271
2026-09-08,V12_LS_70_30_StopVol,HOME,ENTRY,SHORT,0.006045,0.006045,-0.024512215207891985,,,0.12238795941356276,0.24477591882712552,0.07343277564813766
2026-09-08,V12_LS_70_30_StopVol,JTO,ENTRY,SHORT,0.4427,0.4427,-0.021114452833449458,,,0.14208277257592053,0.28416554515184106,0.08524966354555233
2026-09-08,V12_LS_70_30_StopVol,LAB,ENTRY,SHORT,0.06985,0.06985,-0.02177573526576042,,,0.13776802314074413,0.27553604628148826,0.08266081388444649
2026-09-08,V12_LS_70_30_StopVol,LIT,ENTRY,LONG,4.718,4.718,0.046899314261736554,,,0.14925591365652535,0.2985118273130507,0.08955354819391521
2026-09-08,V12_LS_70_30_StopVol,MUBARAK,ENTRY,LONG,0.029892,0.029892,0.018221694532061263,,,0.35,0.7,0.23049447967696174
2026-09-08,V12_LS_70_30_StopVol,PAXG,ENTRY,SHORT,4421.3,4421.3,-0.03,,,0.06,0.12,0.04
2026-09-08,V12_LS_70_30_StopVol,TRIA,ENTRY,SHORT,0.004378,0.004378,-0.012259572795716434,,,0.2447067324440716,0.4894134648881432,0.14682403946644296
2026-09-08,V12_LS_70_30_StopVol,UNI,ENTRY,LONG,6.854,6.854,0.048956540258360916,,,0.14298396012174333,0.28596792024348666,0.085790376073046
2026-09-08,V12_LS_70_30_StopVol,USELESS,ENTRY,LONG,0.23035,0.23035,0.016444516505066748,,,0.35,0.7,0.25
2026-09-08,V12_LS_70_30_StopVol,ZEC,ENTRY,LONG,1139.94,1139.94,0.03555085309355519,,,0.19690104149059054,0.3938020829811811,0.11814062489435431
2026-09-09,V12_LS_50_50,APR,REBALANCE_EXIT,SHORT,0.1808,0.1889,-0.05,,,,,
2026-09-09,V12_LS_50_50,ARB,STOP_INTRADAY,LONG,0.15175608510223537,0.16938,0.05,0.15175608510223537,0.2545088995594735,,,
2026-09-09,V12_LS_50_50,BILL,TAKE_PROFIT_INTRADAY,SHORT,0.012286704376507994,0.01517,-0.05,0.014829986241218052,0.012286704376507994,,,
2026-09-09,V12_LS_50_50,JTO,STOP_INTRADAY,SHORT,0.46426980606478735,0.4427,-0.05,0.46426980606478735,0.31689991316127997,,,
2026-09-09,V12_LS_50_50,LAB,TAKE_PROFIT_INTRADAY,SHORT,0.050603807167238044,0.06985,-0.05,0.07312291136975552,0.050603807167238044,,,
2026-09-09,V12_LS_50_50,MUBARAK,REBALANCE_EXIT,LONG,0.02937,0.029892,0.05,,,,,
2026-09-09,V12_LS_50_50,UNI,STOP_INTRADAY,LONG,6.574995615282654,6.854,0.05,6.574995615282654,8.814024125348856,,,
2026-09-09,V12_LS_50_50,USELESS,STOP_INTRADAY,LONG,0.2346375,0.23035,0.05,0.2346375,0.39159499999999997,,,
2026-09-09,V12_LS_50_50_StopVol,APR,REBALANCE_EXIT,SHORT,0.1808,0.1889,-0.005083325351500661,,,,,
2026-09-09,V12_LS_50_50_StopVol,ARB,STOP_INTRADAY,LONG,0.15175608510223537,0.16938,0.019834973683501234,0.15175608510223537,0.2545088995594735,,,
2026-09-09,V12_LS_50_50_StopVol,BILL,TAKE_PROFIT_INTRADAY,SHORT,0.012286704376507994,0.01517,-0.05,0.014829986241218052,0.012286704376507994,,,
2026-09-09,V12_LS_50_50_StopVol,JTO,STOP_INTRADAY,SHORT,0.46426980606478735,0.4427,-0.03529853069570574,0.46426980606478735,0.31689991316127997,,,
2026-09-09,V12_LS_50_50_StopVol,LAB,TAKE_PROFIT_INTRADAY,SHORT,0.050603807167238044,0.06985,-0.03652871985017216,0.07312291136975552,0.050603807167238044,,,
2026-09-09,V12_LS_50_50_StopVol,MUBARAK,REBALANCE_EXIT,LONG,0.02937,0.029892,0.013015496094329476,,,,,
2026-09-09,V12_LS_50_50_StopVol,UNI,STOP_INTRADAY,LONG,6.574995615282654,6.854,0.034859109255035506,6.574995615282654,8.814024125348856,,,
2026-09-09,V12_LS_50_50_StopVol,USELESS,STOP_INTRADAY,LONG,0.2346375,0.23035,0.01167240195793994,0.2346375,0.39159499999999997,,,
2026-09-09,V12_LS_70_30,APR,REBALANCE_EXIT,SHORT,0.1808,0.1889,-0.03,,,,,
2026-09-09,V12_LS_70_30,ARB,STOP_INTRADAY,LONG,0.15175608510223537,0.16938,0.06999999999999999,0.15175608510223537,0.2545088995594735,,,
2026-09-09,V12_LS_70_30,BILL,TAKE_PROFIT_INTRADAY,SHORT,0.012286704376507994,0.01517,-0.03,0.014829986241218052,0.012286704376507994,,,
2026-09-09,V12_LS_70_30,JTO,STOP_INTRADAY,SHORT,0.46426980606478735,0.4427,-0.03,0.46426980606478735,0.31689991316127997,,,
2026-09-09,V12_LS_70_30,LAB,TAKE_PROFIT_INTRADAY,SHORT,0.050603807167238044,0.06985,-0.03,0.07312291136975552,0.050603807167238044,,,
2026-09-09,V12_LS_70_30,MUBARAK,REBALANCE_EXIT,LONG,0.02937,0.029892,0.06999999999999999,,,,,
2026-09-09,V12_LS_70_30,UNI,STOP_INTRADAY,LONG,6.574995615282654,6.854,0.06999999999999999,6.574995615282654,8.814024125348856,,,
2026-09-09,V12_LS_70_30,USELESS,STOP_INTRADAY,LONG,0.2346375,0.23035,0.06999999999999999,0.2346375,0.39159499999999997,,,
2026-09-09,V12_LS_70_30_StopVol,APR,REBALANCE_EXIT,SHORT,0.1808,0.1889,-0.003049995210900396,,,,,
2026-09-09,V12_LS_70_30_StopVol,ARB,STOP_INTRADAY,LONG,0.15175608510223537,0.16938,0.027768963156901725,0.15175608510223537,0.2545088995594735,,,
2026-09-09,V12_LS_70_30_StopVol,BILL,TAKE_PROFIT_INTRADAY,SHORT,0.012286704376507994,0.01517,-0.03,0.014829986241218052,0.012286704376507994,,,
2026-09-09,V12_LS_70_30_StopVol,JTO,STOP_INTRADAY,SHORT,0.46426980606478735,0.4427,-0.021179118417423443,0.46426980606478735,0.31689991316127997,,,
2026-09-09,V12_LS_70_30_StopVol,LAB,TAKE_PROFIT_INTRADAY,SHORT,0.050603807167238044,0.06985,-0.021917231910103294,0.07312291136975552,0.050603807167238044,,,
2026-09-09,V12_LS_70_30_StopVol,MUBARAK,REBALANCE_EXIT,LONG,0.02937,0.029892,0.018221694532061263,,,,,
