date,strategy,symbol,side,signed_weight,entry_price,best_price,funding_rate_daily,funding_model
2026-09-24,V13_LS_50_50,ARB,LONG,0.05,0.21594,0.22344,-0.0005781527456396999,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-24,V13_LS_50_50,BEAT,SHORT,-0.05,0.08917,0.0883,0.0005699246136153,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-24,V13_LS_50_50,CAP,SHORT,-0.05,0.05319,0.04862,0.0005539942794588,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-24,V13_LS_50_50,CASHCAT,SHORT,-0.05,0.15535,0.14571,0.0003,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-24,V13_LS_50_50,LAB,SHORT,-0.05,0.0551,0.05366,0.00036850310505880004,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-24,V13_LS_50_50,MET,LONG,0.05,0.3434,0.3629,0.00030000000000000003,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-24,V13_LS_50_50,MUBARAK,LONG,0.05,0.052914,0.05641,0.00030000000000000003,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-24,V13_LS_50_50,NEAR,LONG,0.05,4.33,4.825,0.0001692113156116,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-24,V13_LS_50_50,PAXG,SHORT,-0.05,4285.6,4242.7,0.0003,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-24,V13_LS_50_50,UNI,LONG,0.05,9.237,9.456,-1.7947189898999997e-05,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-24,V13_LS_50_50,USELESS,LONG,0.05,0.29472,0.31105,0.000334461533907,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-24,V13_LS_50_50_StopVol,ARB,LONG,0.017846447512495877,0.21594,0.22344,-0.0005781527456396999,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
