entry_friday,exit_friday,asset,futures_symbol
2022-01-07,2022-01-14,YFI,YFIUSDT
2022-01-07,2022-01-14,ANT,ANTUSDT
2022-01-07,2022-01-14,SNX,SNXUSDT
2022-01-07,2022-01-14,COMP,COMPUSDT
2022-01-07,2022-01-14,HBAR,HBARUSDT
2022-01-07,2022-01-14,OCEAN,OCEANUSDT
2022-01-07,2022-01-14,AAVE,AAVEUSDT
2022-01-07,2022-01-14,ICP,ICPUSDT
2022-01-07,2022-01-14,SUSHI,SUSHIUSDT
2022-01-07,2022-01-14,ZRX,ZRXUSDT
