timestamp,open,high,low,close,volume,symbol,coin,interval,source,venue
2025-12-08T08:00:00Z,135.8,136.9,135.63,136.66,54277.95,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T09:00:00Z,136.65,138.85,136.62,138.11,142142.13,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T10:00:00Z,138.11,139.29,138.04,138.71,74011.05,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T11:00:00Z,138.7,139.07,138.12,138.33,43378.83,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T12:00:00Z,138.33,138.52,137.24,137.77,110680.15,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T13:00:00Z,137.77,139.24,137.51,138.08,96515.94,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T14:00:00Z,138.06,138.92,136.8,137.16,165531.72,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T15:00:00Z,137.16,137.53,135.19,135.46,209711.36,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T16:00:00Z,135.46,136.49,134.79,135.49,137142.64,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T17:00:00Z,135.52,136.22,134.75,135.73,113843.33,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
