timestamp,open,high,low,close,volume,symbol,coin,interval,source,venue
2025-12-08T08:00:00Z,91513.0,91879.0,91434.0,91789.0,795.93459,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T09:00:00Z,91789.0,92256.0,91751.0,91881.0,1556.1413,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T10:00:00Z,91881.0,92187.0,91766.0,92089.0,653.88578,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T11:00:00Z,92089.0,92146.0,91811.0,91926.0,880.25839,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T12:00:00Z,91926.0,91951.0,91614.0,91722.0,679.36115,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T13:00:00Z,91723.0,92080.0,91220.0,91417.0,1229.19751,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T14:00:00Z,91417.0,91759.0,90714.0,90815.0,3019.83392,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T15:00:00Z,90815.0,90950.0,89565.0,89918.0,4271.03883,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T16:00:00Z,89918.0,90449.0,89644.0,89932.0,1838.97336,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T17:00:00Z,89932.0,90289.0,89619.0,90215.0,1796.31437,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T18:00:00Z,90216.0,90478.0,89681.0,89886.0,1460.46384,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T19:00:00Z,89871.0,90325.0,89812.0,90071.0,1280.81297,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T20:00:00Z,90072.0,90867.0,90072.0,90742.0,1852.2218,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T21:00:00Z,90749.0,91336.0,90631.0,91273.0,1497.45388,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T22:00:00Z,91273.0,91338.0,90650.0,90773.0,1462.38425,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T23:00:00Z,90774.0,90960.0,90441.0,90594.0,1161.57922,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T00:00:00Z,90594.0,90799.0,90304.0,90347.0,733.43636,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T01:00:00Z,90347.0,90519.0,89912.0,90009.0,881.05548,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T02:00:00Z,90010.0,90331.0,89933.0,90009.0,594.66624,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T03:00:00Z,90008.0,90395.0,89754.0,90356.0,1097.72799,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T04:00:00Z,90357.0,90461.0,89677.0,89873.0,1015.85068,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T05:00:00Z,89873.0,90163.0,89500.0,89836.0,1041.44,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T06:00:00Z,89837.0,90189.0,89721.0,90122.0,683.82979,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T07:00:00Z,90122.0,90487.0,90044.0,90439.0,449.90651,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T08:00:00Z,90439.0,90550.0,90333.0,90463.0,573.28558,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T09:00:00Z,90452.0,90452.0,90080.0,90082.0,440.64211,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T10:00:00Z,90083.0,90296.0,89871.0,90252.0,704.6291,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T11:00:00Z,90252.0,90358.0,90100.0,90338.0,460.9125,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T12:00:00Z,90340.0,90647.0,90299.0,90544.0,905.81868,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T13:00:00Z,90544.0,90827.0,90145.0,90401.0,1740.61156,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T14:00:00Z,90401.0,90608.0,89958.0,90320.0,2849.70769,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T15:00:00Z,90320.0,92874.0,90254.0,92671.0,6646.33607,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T16:00:00Z,92671.0,94443.0,92671.0,94125.0,7310.21838,BTC-USDC-PERP,BTC,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
