timestamp,open,high,low,close,volume,symbol,coin,interval,source,venue
2025-12-08T08:00:00Z,3134.7,3147.0,3125.6,3145.1,8575.1455,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T09:00:00Z,3144.8,3181.6,3142.2,3159.6,36844.7789,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T10:00:00Z,3159.5,3165.8,3154.5,3161.2,16053.0445,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T11:00:00Z,3161.2,3164.6,3136.8,3142.2,23679.2857,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T12:00:00Z,3142.2,3143.5,3123.9,3131.7,26817.5555,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T13:00:00Z,3131.8,3160.7,3129.7,3146.0,15744.3937,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T14:00:00Z,3146.0,3178.8,3126.1,3128.9,56368.2756,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T15:00:00Z,3128.8,3139.4,3088.8,3102.4,80250.4744,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T16:00:00Z,3102.4,3133.6,3093.5,3109.3,26273.1308,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T17:00:00Z,3109.2,3130.0,3099.8,3121.6,27368.1503,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T18:00:00Z,3121.6,3133.8,3077.7,3092.9,37945.7887,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T19:00:00Z,3093.0,3129.0,3091.1,3118.8,20158.0401,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T20:00:00Z,3119.4,3146.5,3119.4,3136.3,21566.8953,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T21:00:00Z,3136.6,3154.0,3127.3,3146.9,21442.8952,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T22:00:00Z,3147.0,3148.4,3121.4,3130.3,14674.7789,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-08T23:00:00Z,3130.1,3137.7,3113.5,3125.4,12174.9752,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T00:00:00Z,3125.4,3144.0,3114.5,3120.2,13729.0223,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T01:00:00Z,3120.2,3125.1,3099.1,3106.9,20981.3042,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T02:00:00Z,3106.9,3116.4,3096.9,3097.9,21942.2763,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T03:00:00Z,3097.8,3129.2,3091.4,3129.2,34035.1019,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T04:00:00Z,3129.5,3131.8,3104.5,3107.9,12815.4945,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T05:00:00Z,3107.9,3119.0,3096.5,3108.6,12153.2172,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T06:00:00Z,3108.8,3117.2,3097.4,3113.5,8222.7359,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T07:00:00Z,3113.5,3127.9,3110.2,3123.3,12821.4055,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T08:00:00Z,3123.4,3131.0,3116.1,3121.4,6993.3719,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T09:00:00Z,3121.4,3124.1,3104.4,3106.2,10318.655,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2025-12-09T10:00:00Z,3106.3,3114.6,3092.0,3107.8,12625.8504,ETH-USDC-PERP,ETH,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
