timestamp,open,high,low,close,volume,symbol,interval,source
2025-12-07T13:00:00Z,89475.90000000,89519.10000000,88652.00000000,89053.74000000,519.89031000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-07T14:00:00Z,89053.74000000,89106.00000000,87719.28000000,88220.53000000,1908.61044000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-07T15:00:00Z,88220.53000000,89707.54000000,88169.08000000,89554.52000000,1242.29675000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-07T16:00:00Z,89554.52000000,89908.17000000,89115.85000000,89893.38000000,675.40594000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-07T17:00:00Z,89893.39000000,91271.77000000,89624.00000000,90945.17000000,1918.39408000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-07T18:00:00Z,90945.18000000,91760.00000000,90945.17000000,91363.78000000,996.37071000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-07T19:00:00Z,91363.79000000,91545.95000000,91213.37000000,91425.52000000,248.14000000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-07T20:00:00Z,91425.51000000,91510.40000000,91308.82000000,91439.04000000,186.94503000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-07T21:00:00Z,91439.05000000,91439.05000000,89871.00000000,90231.32000000,807.41124000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-07T22:00:00Z,90231.31000000,90241.80000000,88995.33000000,89597.03000000,1508.70162000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-07T23:00:00Z,89597.03000000,90471.66000000,89522.08000000,90395.31000000,524.67272000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-08T00:00:00Z,90395.32000000,90627.11000000,89860.00000000,90346.70000000,491.62319000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-08T01:00:00Z,90346.70000000,91700.00000000,90301.86000000,90910.70000000,968.78312000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-08T02:00:00Z,90910.70000000,91436.94000000,90811.25000000,91364.18000000,597.40749000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-08T03:00:00Z,91364.18000000,91420.00000000,90988.91000000,91068.29000000,395.79035000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-08T04:00:00Z,91068.30000000,91470.58000000,91023.06000000,91291.33000000,255.62144000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-08T05:00:00Z,91291.33000000,91444.00000000,91037.43000000,91334.03000000,299.94508000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-08T06:00:00Z,91334.04000000,91649.87000000,91241.27000000,91464.54000000,485.82587000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-08T07:00:00Z,91464.54000000,91868.76000000,91360.00000000,91565.46000000,551.09583000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-08T08:00:00Z,91565.46000000,91938.67000000,91486.46000000,91833.90000000,393.73282000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-08T09:00:00Z,91833.89000000,92287.15000000,91792.38000000,91912.02000000,790.37467000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-08T10:00:00Z,91912.02000000,92222.00000000,91808.09000000,92133.40000000,425.18961000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-08T11:00:00Z,92133.39000000,92188.31000000,91851.08000000,91968.29000000,343.75755000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-08T12:00:00Z,91968.29000000,91992.30000000,91653.94000000,91768.96000000,573.34646000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-08T13:00:00Z,91768.97000000,92122.08000000,91301.45000000,91467.82000000,804.38449000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2025-12-08T14:00:00Z,91467.83000000,91777.00000000,90790.00000000,90852.56000000,1807.88526000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
